Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture19,memory_B_cell,0.9993903284150081,0.9909727952934877,True
Blood,Mixture19,plasma_cell,0.9994872068339764,0.9991374514615694,True
Blood,Mixture19,platelet,0.999553376702053,0.9995323879335593,True
Blood,Mixture20,erythrocyte,0.9995130177580721,0.7630314286144844,False
Blood,Mixture20,classical_monocyte,0.9992154863983849,0.9500437639758069,True
Blood,Mixture20,neutrophil,0.9994943896497326,0.8923767094244611,True
Blood,Mixture20,memory_B_cell,0.9993903284150081,0.9562740457288538,True
Blood,Mixture20,plasma_cell,0.9994872068339764,0.9985531208930756,True
Blood,Mixture20,platelet,0.999553376702053,0.9994982419929751,True
Blood,Mixture21,erythrocyte,0.9995130177580721,0.7615962162240617,False
Blood,Mixture21,classical_monocyte,0.9992154863983849,0.9595409631071367,True
Blood,Mixture21,neutrophil,0.9994943896497326,0.755139126186829,False
Blood,Mixture21,memory_B_cell,0.9993903284150081,0.9973084347165541,True
Blood,Mixture21,plasma_cell,0.9994872068339764,0.9973700899619586,True
Blood,Mixture21,platelet,0.999553376702053,0.9980248576782474,True
Blood,Mixture22,erythrocyte,0.9995130177580721,0.7622729266494825,False
Blood,Mixture22,classical_monocyte,0.9992154863983849,0.9575002672415396,True
Blood,Mixture22,neutrophil,0.9994943896497326,0.9109637797794586,True
Blood,Mixture22,memory_B_cell,0.9993903284150081,0.9718895262671038,True
Blood,Mixture22,plasma_cell,0.9994872068339764,0.9993222915050062,True
Blood,Mixture22,platelet,0.999553376702053,0.9973866908204707,True
Blood,Mixture23,erythrocyte,0.9995130177580721,0.7482045353188176,False
Blood,Mixture23,classical_monocyte,0.9992154863983849,0.9458348373519122,True
Blood,Mixture23,neutrophil,0.9994943896497326,0.8222014790021129,True
Blood,Mixture23,memory_B_cell,0.9993903284150081,0.9980836968569948,True
Blood,Mixture23,plasma_cell,0.9994872068339764,0.9977469746091058,True
Blood,Mixture23,platelet,0.999553376702053,0.9994404555935774,True
